program,faculty,campus,duration,eng_taught,type,url
"Bachelor in Mathematics, Specialisation in Data Science for Artificial Intelligence","School of Data, Science and Engineering",索邦大学阿布扎比,3,TRUE,交叉学科（单学位）,https://www.sorbonne.ae/programme/bachelor-in-mathematics-specialisation-in-data-science-for-artificial-intelligence
"Bachelor in Physics, Concentration in Quantum Technologies","School of Data, Science and Engineering",索邦大学阿布扎比,3,TRUE,单学位,https://www.sorbonne.ae/programme/bachelor-in-physics
Bachelor in Humanities Applied to Public and Cultural Affairs (HAPAC),School of Arts and Humanities,索邦大学阿布扎比,3,FALSE,交叉学科（单学位）,https://www.sorbonne.ae/programme/bachelor-in-humanities-applied-to-public-and-cultural-affairs-hapac
Bachelor in Business and Foreign Languages,"School of Law, Economics and Business",索邦大学阿布扎比,3,FALSE,交叉学科（单学位）,https://www.sorbonne.ae/programme/bachelor-in-applied-foreign-languages
Bachelor in Economics and Management,"School of Law, Economics and Business",索邦大学阿布扎比,3,FALSE,交叉学科（单学位）,https://www.sorbonne.ae/programme/bachelor-in-economics-and-management
Bachelor in Geography and Planning,"School of Arts and Humanities",索邦大学阿布扎比,3,FALSE,交叉学科（单学位）,https://www.sorbonne.ae/programme/program-bachelor-in-geography-and-planning
Bachelor in History: Concentration in International Relations,School of Arts and Humanities,索邦大学阿布扎比,3,FALSE,交叉学科（单学位）,https://www.sorbonne.ae/programme/bachelor-in-history-concentration-international-relations
Bachelor in History of Art and Archaeology,"School of Arts and Humanities",索邦大学阿布扎比,3,FALSE,交叉学科（单学位）,https://www.sorbonne.ae/programme/bachelor-in-history-of-art-and-archaeology
"Bachelor in Law","School of Law, Economics and Business",索邦大学阿布扎比,3,FALSE,单学位,https://www.sorbonne.ae/programme/bachelor-in-law
Double Bachelor in Philosophy and Sociology,School of Arts and Humanities,索邦大学阿布扎比,3,FALSE,双学位,https://www.sorbonne.ae/programme/bachelor-in-philosophy-and-sociology
Bachelor in Records Management and Archival Science,"School of Data, Science and Engineering",索邦大学阿布扎比,3,TRUE,单学位,https://www.sorbonne.ae/programme/bachelor-in-records-management-and-archival-science
"LLCER Italian: Digital, Translation, Publishing and Culture",Faculty of Arts and Humanities,主校区,3,FALSE,交叉学科（单学位）,https://formations-lettres.sorbonne-universite.fr/fr/index/licence-XA/arts-lettres-langues-ALL/licence-llcer-italien-numerique-traduction-edition-et-culture-M4L2UTVQ.html
"Applied Foreign Languages: Two Languages Excluding English",Faculty of Arts and Humanities,主校区,3,FALSE,单学位,https://formations-lettres.sorbonne-universite.fr/fr/index/licence-XA/arts-lettres-langues-ALL/licence-langues-etrangeres-appliquees-2-langues-hors-anglais-M4MMJXGI.html
Applied Foreign Languages: English-Spanish,Faculty of Arts and Humanities,主校区,3,FALSE,单学位,https://formations-lettres.sorbonne-universite.fr/fr/index/licence-XA/arts-lettres-langues-ALL/licence-langues-etrangeres-appliquees-anglais-espagnol-M4MMDKD7.html
Applied Foreign Languages: English and Another Language,Faculty of Arts and Humanities,主校区,3,FALSE,单学位,https://formations-lettres.sorbonne-universite.fr/fr/index/licence-XA/arts-lettres-langues-ALL/licence-langues-etrangeres-appliquees-anglais-autre-langue-LLEAP1L_601.html
"Literature: Publishing, Screenwriting and Media",Faculty of Arts and Humanities,主校区,3,FALSE,交叉学科（单学位）,https://formations-lettres.sorbonne-universite.fr/fr/index/licence-XA/arts-lettres-langues-ALL/licence-lettres-edition-scenario-et-medias-lesem-LLETT1L_613.html
Classical Literature,Faculty of Arts and Humanities,主校区,3,FALSE,单学位,https://formations-lettres.sorbonne-universite.fr/fr/index/licence-XA/arts-lettres-langues-ALL/licence-lettres-lettres-classiques-LLETT1L_601.html
Modern Literature,Faculty of Arts and Humanities,主校区,3,FALSE,单学位,https://formations-lettres.sorbonne-universite.fr/fr/index/licence-XA/arts-lettres-langues-ALL/licence-lettres-lettres-modernes-LLETT1L_603.html
